,,,,,,,,,,,,,Nico tablet,Gina Tablet,,,
Kin22-SunRilHR-777,UX1997,LA09264C-P2/NC08-23383,10.15.1,UX1997-80,+,.,777,4,3/28/2022,87,,,S,,2,75,-
Kin22-SunRilHR-778,UX1997,LA09264C-P2/NC08-23383,10.15.2,UX1997-73,-,.,778,3,4/1/2022,91,,,R10,,0,85,-
Kin22-SunRilHR-779,UX1997,LA09264C-P2/NC08-23383,10.15.3,UX1997-1,-,.,779,2,4/8/2022,98,,,R,,0,85,-
Kin22-SunRilHR-780,UX1997,LA09264C-P2/NC08-23383,10.15.4,UX1997-67,-,.,780,2,4/4/2022,94,,,R10,,2,80,-
Kin22-SunRilHR-781,Parent,Parent,10.16.1,LA09264C-P2,+,R-8.1.3,781,4,3/28/2022,87,,,S,,3,70,+
Kin22-SunRilHR-782,UX1997,LA09264C-P2/NC08-23383,10.16.2,UX1997-22,-,.,782,3,4/5/2022,95,,,R,,1,85,-
Kin22-SunRilHR-783,UX1997,LA09264C-P2/NC08-23383,10.16.3,UX1997-50,-,.,783,3,4/6/2022,96,,,R,,0,75,-
Kin22-SunRilHR-784,UX1997,LA09264C-P2/NC08-23383,10.16.4,UX1997-84,+,.,784,3,4/2/2022,92,,,S,,1,80,+
Kin22-SunRilHR-785,UX1997,LA09264C-P2/NC08-23383,10.17.1,UX1997-2,-,.,785,3,3/31/2022,90,,,S,,1,80,-
Kin22-SunRilHR-786,UX1997,LA09264C-P2/NC08-23383,10.17.2,UX1997-82,+,.,786,3,3/29/2022,88,,,R,,2,70,+
Kin22-SunRilHR-787,UX1997,LA09264C-P2/NC08-23383,10.17.3,UX1997-74,-,.,787,2,4/15/2022,105,,,R,,1,75,-
Kin22-SunRilHR-788,UX1997,LA09264C-P2/NC08-23383,10.17.4,UX1997-75,-,.,788,3,4/8/2022,98,,,S,,1,95,-
Kin22-SunRilHR-789,UX1997,LA09264C-P2/NC08-23383,10.18.1,UX1997-65,+,.,789,1,4/15/2022,105,,,R10,,1,85,+
Kin22-SunRilHR-790,UX1997,LA09264C-P2/NC08-23383,10.18.2,UX1997-23,-,.,790,2,4/3/2022,93,,,S,,2,90,-
Kin22-SunRilHR-791,UX1997,LA09264C-P2/NC08-23383,10.18.3,UX1997-83,+,.,791,1,4/14/2022,104,,,S,,3,90,+
Kin22-SunRilHR-792,Parent,Parent,10.18.4,GA06493-13LE6,+,GA-81738,792,1,4/14/2022,104,,,R,,0,90,+
Kin22-SunRilHR-793,UX1997,LA09264C-P2/NC08-23383,10.19.1,UX1997-38,+,.,793,3,4/6/2022,96,,,R,,0,85,+
Kin22-SunRilHR-794,UX1997,LA09264C-P2/NC08-23383,10.19.2,UX1997-72,+,.,794,3,4/3/2022,93,,,R,,0,90,+
Kin22-SunRilHR-795,UX1997,LA09264C-P2/NC08-23383,10.19.3,UX1997-98,-,.,795,3,4/4/2022,94,,,R,,3,85,mixed
Kin22-SunRilHR-796,UX1997,LA09264C-P2/NC08-23383,10.19.4,UX1997-13,+,.,796,2,4/10/2022,100,,,S,,1,90,+
Kin22-SunRilHR-797,UX1997,LA09264C-P2/NC08-23383,10.20.1,UX1997-97,-,.,797,1,4/17/2022,107,,,R,,1,90,-
Kin22-SunRilHR-798,UX1997,LA09264C-P2/NC08-23383,10.20.2,UX1997-12,+,.,798,2,4/8/2022,98,,,S,,2,85,+
Kin22-SunRilHR-799,UX1997,LA09264C-P2/NC08-23383,10.20.3,UX1997-79,+,.,799,2,4/12/2022,102,,,R,,0,80,+
Kin22-SunRilHR-800,UX1997,LA09264C-P2/NC08-23383,10.20.4,UX1997-76,+,.,800,1,4/15/2022,105,,,R,,3,95,+
Kin22-SunRilHR-801,Marker,Marker,11.1.1,Barley,+,.,801,1,4/19/2022,109,,,R,,,,+
Kin22-SunRilHR-802,UX1994,GA06493-13LE6/SS8641,11.1.2,UX1994-66,+,.,802,2,4/13/2022,103,,,R,,0,85,+
Kin22-SunRilHR-803,UX1994,GA06493-13LE6/SS8641,11.1.3,UX1994-134,+,.,803,2,4/12/2022,102,,,R,,0,90,+
Kin22-SunRilHR-804,Parent,Parent,11.1.4,NC08-23383,-,R-2.1.2,804,2,4/13/2022,103,,,R,,1,75,-
Kin22-SunRilHR-805,UX1994,GA06493-13LE6/SS8641,11.2.1,UX1994-43,+,.,805,2,4/10/2022,100,,,R,,0,75,+
Kin22-SunRilHR-806,UX1994,GA06493-13LE6/SS8641,11.2.2,UX1994-214,-,.,806,2,4/13/2022,103,,,R,,0,85,-
Kin22-SunRilHR-807,UX1994,GA06493-13LE6/SS8641,11.2.3,UX1994-32,+,.,807,2,4/8/2022,98,,,R,,0,80,+
Kin22-SunRilHR-808,UX1994,GA06493-13LE6/SS8641,11.2.4,UX1994-22,+,.,808,2,4/10/2022,100,,,R,,0,85,+
Kin22-SunRilHR-809,UX1994,GA06493-13LE6/SS8641,11.3.1,UX1994-177,+,.,809,2,4/12/2022,102,,,R,,0,80,+
Kin22-SunRilHR-810,Parent,Parent,11.3.2,TX12D4896,+,K-2.7.3,810,3,4/10/2022,100,,,R,,1,80,+
Kin22-SunRilHR-811,UX1994,GA06493-13LE6/SS8641,11.3.3,UX1994-152,-,.,811,2,4/13/2022,103,,,R,,0,90,-
Kin22-SunRilHR-812,UX1994,GA06493-13LE6/SS8641,11.3.4,UX1994-104,+,.,812,1,4/13/2022,103,,,R,,0,85,+
Kin22-SunRilHR-813,UX1994,GA06493-13LE6/SS8641,11.4.1,UX1994-158,+,.,813,2,4/12/2022,102,,,R,,0,80,+
Kin22-SunRilHR-814,UX1994,GA06493-13LE6/SS8641,11.4.2,UX1994-105,+,.,814,2,4/9/2022,99,,,R,,0,90,+
Kin22-SunRilHR-815,UX1994,GA06493-13LE6/SS8641,11.4.3,UX1994-46,+,.,815,1,4/15/2022,105,,,R,,0,80,+
Kin22-SunRilHR-816,UX1994,GA06493-13LE6/SS8641,11.4.4,UX1994-128,+,.,816,2,4/14/2022,104,,,R,,0,85,+
Kin22-SunRilHR-817,UX1994,GA06493-13LE6/SS8641,11.5.1,UX1994-136,+,.,817,2,4/11/2022,101,,,R,,0,80,+
Kin22-SunRilHR-818,UX1994,GA06493-13LE6/SS8641,11.5.2,UX1994-75,-,.,818,1,4/17/2022,107,,,R,,0,70,-
Kin22-SunRilHR-819,UX1994,GA06493-13LE6/SS8641,11.5.3,UX1994-33,+,.,819,1,4/13/2022,103,,,R,,0,75,+
Kin22-SunRilHR-820,Parent,Parent,11.5.4,GA00190-7A14,+,R-17.20.1,820,3,4/8/2022,98,,,R10,,1,90,+
Kin22-SunRilHR-821,UX1994,GA06493-13LE6/SS8641,11.6.1,UX1994-87,-,.,821,2,4/12/2022,102,,,R,,,80,-
Kin22-SunRilHR-822,UX1994,GA06493-13LE6/SS8641,11.6.2,UX1994-133,-,.,822,2,4/10/2022,100,,,RR,,,85,-
Kin22-SunRilHR-823,Parent,Parent,11.6.3,GA06493-13LE6,+,R-14.18.2,823,2,4/13/2022,103,,,R,,,90,+
Kin22-SunRilHR-824,UX1994,GA06493-13LE6/SS8641,11.6.4,UX1994-185,-,.,824,2,4/10/2022,100,,,R,,,80,-
Kin22-SunRilHR-825,UX1994,GA06493-13LE6/SS8641,11.7.1,UX1994-37,+,.,825,1,4/14/2022,104,,,R,,,75,+
Kin22-SunRilHR-826,UX1994,GA06493-13LE6/SS8641,11.7.2,UX1994-99,+,.,826,2,4/10/2022,100,,,R,,,85,+
Kin22-SunRilHR-827,UX1994,GA06493-13LE6/SS8641,11.7.3,UX1994-27,+,.,827,2,4/10/2022,100,,,R,,,80,+
Kin22-SunRilHR-828,UX1994,GA06493-13LE6/SS8641,11.7.4,UX1994-48,+,.,828,2,4/12/2022,102,,,R,,,85,+
Kin22-SunRilHR-829,Parent,Parent,11.8.1,Hilliard,+,VA-307,829,1,4/12/2022,102,,,R,,,75,+
Kin22-SunRilHR-830,UX1994,GA06493-13LE6/SS8641,11.8.2,UX1994-127,+,.,830,1,4/11/2022,101,,,R,,,80,+
Kin22-SunRilHR-831,UX1994,GA06493-13LE6/SS8641,11.8.3,UX1994-41,+,.,831,1,4/14/2022,104,,,R,,,80,+
Kin22-SunRilHR-832,UX1994,GA06493-13LE6/SS8641,11.8.4,UX1994-108,*,.,832,2,4/10/2022,100,,,R,,,85,mixed
Kin22-SunRilHR-833,UX1994,GA06493-13LE6/SS8641,11.9.1,UX1994-125,-,.,833,2,4/11/2022,101,,,R,,,75,-
Kin22-SunRilHR-834,Parent,Parent,11.9.2,MPV57,-,R-12.10.1,834,1,4/13/2022,103,,,R,,,70,-
Kin22-SunRilHR-835,UX1994,GA06493-13LE6/SS8641,11.9.3,UX1994-135,+,.,835,2,4/12/2022,102,,,R,,,75,+
Kin22-SunRilHR-836,UX1994,GA06493-13LE6/SS8641,11.9.4,UX1994-98,+,.,836,3,4/12/2022,102,,,R,,,85,+
Kin22-SunRilHR-837,UX1994,GA06493-13LE6/SS8641,11.10.1,UX1994-100,-,.,837,3,4/11/2022,101,,,R,,,85,-
Kin22-SunRilHR-838,UX1994,GA06493-13LE6/SS8641,11.10.2,UX1994-159,-,.,838,3,4/13/2022,103,,,R,,,85,-
Kin22-SunRilHR-839,UX1994,GA06493-13LE6/SS8641,11.10.3,UX1994-168,-,.,839,3,4/14/2022,104,,,R,,,85,-
Kin22-SunRilHR-840,Parent,Parent,11.10.4,AGS2000,+,VA-472,840,4,4/7/2022,97,,,R,,,95,+
Kin22-SunRilHR-841,UX1994,GA06493-13LE6/SS8641,11.11.1,UX1994-106,+,.,841,3,4/13/2022,103,,,R,,,80,+
Kin22-SunRilHR-842,UX1994,GA06493-13LE6/SS8641,11.11.2,UX1994-137,+,.,842,2,4/15/2022,105,,,R,,,85,+
Kin22-SunRilHR-843,UX1994,GA06493-13LE6/SS8641,11.11.3,UX1994-115,+,.,843,3,4/12/2022,102,,,R,,,95,+
Kin22-SunRilHR-844,UX1994,GA06493-13LE6/SS8641,11.11.4,UX1994-17,+,.,844,3,4/11/2022,101,,,R,,,95,+
Kin22-SunRilHR-845,UX1994,GA06493-13LE6/SS8641,11.12.1,UX1994-111,+,.,845,3,4/13/2022,103,,,R,,,85,+
Kin22-SunRilHR-846,UX1994,GA06493-13LE6/SS8641,11.12.2,UX1994-51,+,.,846,2,4/12/2022,102,,,R,,,80,+
Kin22-SunRilHR-847,Parent,Parent,11.12.3,SS8641,-,R-6.11.3,847,3,4/10/2022,100,,,R,,,90,-
Kin22-SunRilHR-848,UX1994,GA06493-13LE6/SS8641,11.12.4,UX1994-132,+,.,848,3,4/12/2022,102,,,R,,,90,+
Kin22-SunRilHR-849,Parent,Parent,11.13.1,NC8248-1,+,VA-267,849,4,4/1/2022,91,,,R,,,85,+
Kin22-SunRilHR-850,UX1994,GA06493-13LE6/SS8641,11.13.2,UX1994-25,+,.,850,3,4/13/2022,103,,,R,,,90,+
Kin22-SunRilHR-851,UX1994,GA06493-13LE6/SS8641,11.13.3,UX1994-47,+,.,851,3,4/14/2022,104,,,R,,,80,+
Kin22-SunRilHR-852,UX1994,GA06493-13LE6/SS8641,11.13.4,UX1994-65,-,.,852,4,4/15/2022,105,,,R,,,95,-
Kin22-SunRilHR-853,UX1994,GA06493-13LE6/SS8641,11.14.1,UX1994-35,-,.,853,2,4/15/2022,105,,,R,,,80,-
Kin22-SunRilHR-854,UX1994,GA06493-13LE6/SS8641,11.14.2,UX1994-19,+,.,854,3,4/10/2022,100,,,R,,,85,+
Kin22-SunRilHR-855,UX1994,GA06493-13LE6/SS8641,11.14.3,UX1994-72,-,.,855,2,4/14/2022,104,,,R,,,85,-
Kin22-SunRilHR-856,UX1994,GA06493-13LE6/SS8641,11.14.4,UX1994-114,+,.,856,2,4/14/2022,104,,,R,,,95,+
Kin22-SunRilHR-857,UX1994,GA06493-13LE6/SS8641,11.15.1,UX1994-53,+,.,857,2,4/13/2022,103,,,R,,,80,+
Kin22-SunRilHR-858,UX1994,GA06493-13LE6/SS8641,11.15.2,UX1994-199,-,.,858,3,4/8/2022,98,,,R,,,85,-
Kin22-SunRilHR-859,UX1994,GA06493-13LE6/SS8641,11.15.3,UX1994-196,+,.,859,3,4/10/2022,100,,,R,,,85,+
Kin22-SunRilHR-860,Parent,Parent,11.15.4,GA05450-EL52,+,R-10.1.4,860,4,4/3/2022,93,,,R,,,85,+
Kin22-SunRilHR-861,UX1994,GA06493-13LE6/SS8641,11.16.1,UX1994-36,+,.,861,2,4/10/2022,100,,,R,,,80,+
Kin22-SunRilHR-862,UX1994,GA06493-13LE6/SS8641,11.16.2,UX1994-13,+,.,862,2,4/13/2022,103,,,R,,,85,+
Kin22-SunRilHR-863,UX1994,GA06493-13LE6/SS8641,11.16.3,UX1994-123,-,.,863,2,4/13/2022,103,,,R,,,90,-
Kin22-SunRilHR-864,UX1994,GA06493-13LE6/SS8641,11.16.4,UX1994-101,+,.,864,3,4/13/2022,103,,,R,,,95,+
Kin22-SunRilHR-865,UX1994,GA06493-13LE6/SS8641,11.17.1,UX1994-94,+,.,865,2,4/12/2022,102,,,R,,,80,+
Kin22-SunRilHR-866,UX1994,GA06493-13LE6/SS8641,11.17.2,UX1994-171,+,.,866,3,4/11/2022,101,,,R,,,85,+
Kin22-SunRilHR-867,UX1994,GA06493-13LE6/SS8641,11.17.3,UX1994-207,+,.,867,2,4/14/2022,104,,,R,,,90,+
Kin22-SunRilHR-868,UX1994,GA06493-13LE6/SS8641,11.17.4,UX1994-31,+,.,868,3,4/11/2022,101,,,R,,,85,+
Kin22-SunRilHR-869,Parent,Parent,11.18.1,GA001138-8E36,+,K-1.8.4,869,4,4/10/2022,100,,,R,,,105,+
Kin22-SunRilHR-870,UX1994,GA06493-13LE6/SS8641,11.18.2,UX1994-76,-,.,870,2,4/12/2022,102,,,R,,,95,-
Kin22-SunRilHR-871,UX1994,GA06493-13LE6/SS8641,11.18.3,UX1994-103,+,.,871,2,4/9/2022,99,,,R,,,90,+
Kin22-SunRilHR-872,UX1994,GA06493-13LE6/SS8641,11.18.4,UX1994-52,+,.,872,3,4/11/2022,101,,,R,,,90,+
Kin22-SunRilHR-873,UX1994,GA06493-13LE6/SS8641,11.19.1,UX1994-201,-,.,873,3,4/10/2022,100,,,R,,,90,-
Kin22-SunRilHR-874,UX1994,GA06493-13LE6/SS8641,11.19.2,UX1994-90,-,.,874,1,4/14/2022,104,,,R,,,85,-
Kin22-SunRilHR-875,Parent,Parent,11.19.3,ARGA051160-14LE31,-,VA-510,875,2,4/11/2022,101,,,R,,,95,+
Kin22-SunRilHR-876,UX1994,GA06493-13LE6/SS8641,11.19.4,UX1994-116,-,.,876,2,4/13/2022,103,,,R,,,90,-
Kin22-SunRilHR-877,UX1994,GA06493-13LE6/SS8641,11.20.1,UX1994-81,-,.,877,2,4/7/2022,97,,,R,,,85,-
Kin22-SunRilHR-878,Parent,Parent,11.20.2,LA09264C-P2,+,R-6.10.1,878,4,3/30/2022,89,,,S,,,80,+
Kin22-SunRilHR-879,UX1994,GA06493-13LE6/SS8641,11.20.3,UX1994-20,+,.,879,2,4/11/2022,101,,,R,,,85,+
Kin22-SunRilHR-880,UX1994,GA06493-13LE6/SS8641,11.20.4,UX1994-109,+,.,880,1,4/14/2022,104,,,R,,,90,+
Kin22-SunRilHR-881,Marker,Marker,12.1.1,Barley,+,.,881,1,4/21/2022,111,,,R,,,,+
Kin22-SunRilHR-882,UX1989,NC8248-1/GA06493-13LE6,12.1.2,UX1989-59,+,.,882,2,4/8/2022,98,,,R,,0,85,+
Kin22-SunRilHR-883,UX1989,NC8248-1/GA06493-13LE6,12.1.3,UX1989-47,+,.,883,1,4/12/2022,102,,,R,,1,85,+
Kin22-SunRilHR-884,UX1989,NC8248-1/GA06493-13LE6,12.1.4,UX1989-28,+,.,884,2,4/11/2022,101,,,R10,,1,85,+
Kin22-SunRilHR-885,UX1989,NC8248-1/GA06493-13LE6,12.2.1,UX1989-50,+,.,885,2,4/7/2022,97,,,R,,1,80,+
Kin22-SunRilHR-886,UX1989,NC8248-1/GA06493-13LE6,12.2.2,UX1989-31,+,.,886,2,4/5/2022,95,,,R,,0,85,+
Kin22-SunRilHR-887,UX1989,NC8248-1/GA06493-13LE6,12.2.3,UX1989-10,+,.,887,2,4/7/2022,97,,,R,,0,95,+
Kin22-SunRilHR-888,UX1989,NC8248-1/GA06493-13LE6,12.2.4,UX1989-6,+,.,888,1,4/10/2022,100,,,R,,1,85,+
Kin22-SunRilHR-889,UX1989,NC8248-1/GA06493-13LE6,12.3.1,UX1989-67,+,.,889,1,4/13/2022,103,,,R,,0,80,+
Kin22-SunRilHR-890,UX1989,NC8248-1/GA06493-13LE6,12.3.2,UX1989-52,+,.,890,1,4/12/2022,102,,,R,,1,85,+
Kin22-SunRilHR-891,Parent,Parent,12.3.3,GA00190-7A14,+,VA-368,891,2,4/7/2022,97,,,S,,2,95,+
Kin22-SunRilHR-892,UX1989,NC8248-1/GA06493-13LE6,12.3.4,UX1989-12,+,.,892,3,4/6/2022,96,,,R,,1,85,+
Kin22-SunRilHR-893,UX1989,NC8248-1/GA06493-13LE6,12.4.1,UX1989-34,+,.,893,2,4/12/2022,102,,,R,,0,95,+
Kin22-SunRilHR-894,Parent,Parent,12.4.2,AGS2000,+,GA-81903,894,3,4/2/2022,92,,,R,,1,85,+
Kin22-SunRilHR-895,UX1989,NC8248-1/GA06493-13LE6,12.4.3,UX1989-49,+,.,895,1,4/11/2022,101,,,R,,0,85,+
Kin22-SunRilHR-896,UX1989,NC8248-1/GA06493-13LE6,12.4.4,UX1989-2,+,.,896,2,4/14/2022,104,,,R,,1,95,+
Kin22-SunRilHR-897,UX1989,NC8248-1/GA06493-13LE6,12.5.1,UX1989-42,+,.,897,3,3/30/2022,89,,,R,,1,90,+
Kin22-SunRilHR-898,UX1989,NC8248-1/GA06493-13LE6,12.5.2,UX1989-33,+,.,898,2,4/7/2022,97,,,R,,0,95,+
Kin22-SunRilHR-899,UX1989,NC8248-1/GA06493-13LE6,12.5.3,UX1989-66,+,.,899,3,4/3/2022,93,,,R10,,0,85,+
Kin22-SunRilHR-900,UX1989,NC8248-1/GA06493-13LE6,12.5.4,UX1989-35,+,.,900,4,4/2/2022,92,,,R,,1,90,+
Kin22-SunRilHR-901,Parent,Parent,12.6.1,SS8641,-,R-7.1.3,901,2,4/8/2022,98,,,R,,,80,-
Kin22-SunRilHR-902,UX1989,NC8248-1/GA06493-13LE6,12.6.2,UX1989-9,+,.,902,2,4/12/2022,102,,,R10,,,100,+
Kin22-SunRilHR-903,UX1989,NC8248-1/GA06493-13LE6,12.6.3,UX1989-27,+,.,903,3,4/1/2022,91,,,R10,,,90,+
Kin22-SunRilHR-904,UX1989,NC8248-1/GA06493-13LE6,12.6.4,UX1989-15,+,.,904,2,4/11/2022,101,,,R,,,85,+
Kin22-SunRilHR-905,UX1989,NC8248-1/GA06493-13LE6,12.7.1,UX1989-53,+,.,905,2,4/8/2022,98,,,R,,,95,+
Kin22-SunRilHR-906,UX1989,NC8248-1/GA06493-13LE6,12.7.2,UX1989-45,+,.,906,3,3/31/2022,90,,,20,,,85,+
Kin22-SunRilHR-907,Parent,Parent,12.7.3,ARGA051160-14LE31,-,GA-81930,907,1,4/12/2022,102,,,R,,,95,-
Kin22-SunRilHR-908,UX1989,NC8248-1/GA06493-13LE6,12.7.4,UX1989-14,+,.,908,3,4/5/2022,95,,,R,,,95,+
Kin22-SunRilHR-909,UX1989,NC8248-1/GA06493-13LE6,12.8.1,UX1989-70,+,.,909,2,4/9/2022,99,,,R,,,90,+
Kin22-SunRilHR-910,UX1989,NC8248-1/GA06493-13LE6,12.8.2,UX1989-23,+,.,910,4,3/31/2022,90,,,30,,,95,+
Kin22-SunRilHR-911,UX1989,NC8248-1/GA06493-13LE6,12.8.3,UX1989-38,+,.,911,1,4/8/2022,98,,,R,,,85,+
Kin22-SunRilHR-912,Parent,Parent,12.8.4,NC08-23383,-,VA-91,912,1,4/12/2022,102,,,R,,,85,-
Kin22-SunRilHR-913,UX1989,NC8248-1/GA06493-13LE6,12.9.1,UX1989-7,+,.,913,3,4/2/2022,92,,,R,,,85,+
Kin22-SunRilHR-914,Parent,Parent,12.9.2,Hilliard,+,VA-36,914,1,4/12/2022,102,,,R,,,85,+
Kin22-SunRilHR-915,UX1989,NC8248-1/GA06493-13LE6,12.9.3,UX1989-3,+,.,915,2,4/8/2022,98,,,R,,,95,+
Kin22-SunRilHR-916,UX1989,NC8248-1/GA06493-13LE6,12.9.4,UX1989-8,+,.,916,2,4/5/2022,95,,,R,,,95,+
Kin22-SunRilHR-917,UX1989,NC8248-1/GA06493-13LE6,12.10.1,UX1989-51,+,.,917,4,3/28/2022,87,,,R,,,85,+
Kin22-SunRilHR-918,UX1989,NC8248-1/GA06493-13LE6,12.10.2,UX1989-63,+,.,918,3,4/3/2022,93,,,R,,,95,+
Kin22-SunRilHR-919,UX1989,NC8248-1/GA06493-13LE6,12.10.3,UX1989-39,+,.,919,2,4/6/2022,96,,,R,,,95,+
Kin22-SunRilHR-920,UX1989,NC8248-1/GA06493-13LE6,12.10.4,UX1989-43,+,.,920,3,4/6/2022,96,,,S,,,85,+
Kin22-SunRilHR-921,UX1989,NC8248-1/GA06493-13LE6,12.11.1,UX1989-62,+,.,921,1,4/15/2022,105,,,R,,,90,+
Kin22-SunRilHR-922,UX1989,NC8248-1/GA06493-13LE6,12.11.2,UX1989-1,+,.,922,2,4/5/2022,95,,,R,,,100,+
Kin22-SunRilHR-923,Parent,Parent,12.11.3,GA05450-EL52,+,R-10.1.2,923,2,4/3/2022,93,,,R,,,90,+
Kin22-SunRilHR-924,UX1989,NC8248-1/GA06493-13LE6,12.11.4,UX1989-24,+,.,924,3,4/1/2022,91,,,S,,,85,+
Kin22-SunRilHR-925,UX1989,NC8248-1/GA06493-13LE6,12.12.1,UX1989-26,+,.,925,3,4/6/2022,96,,,R,,,90,+
Kin22-SunRilHR-926,UX1989,NC8248-1/GA06493-13LE6,12.12.2,UX1989-44,+,.,926,3,4/5/2022,95,,,R,,,95,+
Kin22-SunRilHR-927,UX1989,NC8248-1/GA06493-13LE6,12.12.3,UX1989-55,+,.,927,3,4/4/2022,94,,,S,,,90,+
Kin22-SunRilHR-928,Parent,Parent,12.12.4,GA06493-13LE6,+,GA-81738,928,2,4/12/2022,102,,,R,,,85,+
Kin22-SunRilHR-929,Parent,Parent,12.13.1,LA09264C-P2,+,R-8.1.3,929,3,3/27/2022,86,,,S,,,75,+
Kin22-SunRilHR-930,UX1989,NC8248-1/GA06493-13LE6,12.13.2,UX1989-48,+,.,930,1,4/12/2022,102,,,20,,,100,+
Kin22-SunRilHR-931,UX1989,NC8248-1/GA06493-13LE6,12.13.3,UX1989-16,+,.,931,2,4/6/2022,96,,,R,,,95,+
Kin22-SunRilHR-932,UX1989,NC8248-1/GA06493-13LE6,12.13.4,UX1989-20,+,.,932,3,4/2/2022,92,,,R,,,90,+
Kin22-SunRilHR-933,UX1989,NC8248-1/GA06493-13LE6,12.14.1,UX1989-57,+,.,933,4,4/4/2022,94,,,R,,,90,+
Kin22-SunRilHR-934,UX1989,NC8248-1/GA06493-13LE6,12.14.2,UX1989-32,+,.,934,3,4/3/2022,93,,,R,,,80,+
Kin22-SunRilHR-935,UX1989,NC8248-1/GA06493-13LE6,12.14.3,UX1989-41,+,.,935,2,4/7/2022,97,,,R,,,75,+
Kin22-SunRilHR-936,UX1989,NC8248-1/GA06493-13LE6,12.14.4,UX1989-30,+,.,936,3,4/4/2022,94,,,R,,,95,+
Kin22-SunRilHR-937,UX1989,NC8248-1/GA06493-13LE6,12.15.1,UX1989-64,+,.,937,3,4/5/2022,95,,,S,,,90,+
Kin22-SunRilHR-938,UX1989,NC8248-1/GA06493-13LE6,12.15.2,UX1989-21,+,.,938,3,4/4/2022,94,,,S,,,80,+
Kin22-SunRilHR-939,Parent,Parent,12.15.3,MPV57,-,R-14.18.3,939,1,4/13/2022,103,,,R,,,85,-
Kin22-SunRilHR-940,UX1989,NC8248-1/GA06493-13LE6,12.15.4,UX1989-13,+,.,940,2,4/8/2022,98,,,R,,,95,+
Kin22-SunRilHR-941,UX1989,NC8248-1/GA06493-13LE6,12.16.1,UX1989-54,+,.,941,2,4/8/2022,98,,,R,,,80,+
Kin22-SunRilHR-942,UX1989,NC8248-1/GA06493-13LE6,12.16.2,UX1989-65,+,.,942,2,4/5/2022,95,,,S,,,85,+
Kin22-SunRilHR-943,UX1989,NC8248-1/GA06493-13LE6,12.16.3,UX1989-5,+,.,943,3,4/6/2022,96,,,S,,,85,+
Kin22-SunRilHR-944,UX1989,NC8248-1/GA06493-13LE6,12.16.4,UX1989-22,+,.,944,4,3/26/2022,85,,,S,,,85,+
Kin22-SunRilHR-945,UX1989,NC8248-1/GA06493-13LE6,12.17.1,UX1989-40,+,.,945,2,4/6/2022,96,,,R,,,90,+
Kin22-SunRilHR-946,Parent,Parent,12.17.2,TX12D4896,+,R-19.1.4,946,3,4/7/2022,97,,,R,,,95,+
Kin22-SunRilHR-947,UX1989,NC8248-1/GA06493-13LE6,12.17.3,UX1989-19,+,.,947,1,4/7/2022,97,,,R,,,95,+
Kin22-SunRilHR-948,UX1989,NC8248-1/GA06493-13LE6,12.17.4,UX1989-68,+,.,948,3,4/4/2022,94,,,R,,,90,+
Kin22-SunRilHR-949,UX1989,NC8248-1/GA06493-13LE6,12.18.1,UX1989-29,+,.,949,2,4/6/2022,96,,,R,,,100,+
Kin22-SunRilHR-950,UX1989,NC8248-1/GA06493-13LE6,12.18.2,UX1989-4,+,.,950,3,4/5/2022,95,,,R,,,90,+
Kin22-SunRilHR-951,UX1989,NC8248-1/GA06493-13LE6,12.18.3,UX1989-69,+,.,951,3,4/6/2022,96,,,R,,,85,+
Kin22-SunRilHR-952,UX1989,NC8248-1/GA06493-13LE6,12.18.4,UX1989-17,+,.,952,2,4/7/2022,97,,,R,,,90,+
Kin22-SunRilHR-953,UX1989,NC8248-1/GA06493-13LE6,12.19.1,UX1989-60,+,.,953,4,3/26/2022,85,,/storage/emulated/0/fieldBook/plot_data/Kin22-SunRils-T1-T30/photos/Kin22-SunRilHR-953_picture_1_2022-03-28-10-59-58.jpg,R,,,85,+
Kin22-SunRilHR-954,UX1989,NC8248-1/GA06493-13LE6,12.19.2,UX1989-18,+,.,954,2,4/7/2022,97,,,S,,,85,+
Kin22-SunRilHR-955,UX1989,NC8248-1/GA06493-13LE6,12.19.3,UX1989-46,+,.,955,2,4/8/2022,98,,,R,,,85,+
Kin22-SunRilHR-956,Parent,Parent,12.19.4,GA001138-8E36,+,VA-37,956,3,4/8/2022,98,,,R,,,100,+
Kin22-SunRilHR-957,Parent,Parent,12.20.1,NC8248-1,+,R-5.1.4,957,3,3/29/2022,88,,,R,,,85,+
Kin22-SunRilHR-958,UX1989,NC8248-1/GA06493-13LE6,12.20.2,UX1989-25,+,.,958,2,4/7/2022,97,,,R,,,105,+
Kin22-SunRilHR-959,UX1989,NC8248-1/GA06493-13LE6,12.20.3,UX1989-37,+,.,959,3,4/4/2022,94,,,R,,,80,+
Kin22-SunRilHR-960,UX1989,NC8248-1/GA06493-13LE6,12.20.4,UX1989-61,+,.,960,2,4/11/2022,101,,,R,,,90,+
Kin22-SunRilHR-961,Marker,Marker,13.1.1,Barley,+,.,961,1,4/21/2022,111,,,R,,,,+
Kin22-SunRilHR-962,UX2013,HILLIARD/GA00190-7A14,13.1.2,UX2013-51,+,.,962,2,4/13/2022,103,,,R10,,0,85,+
Kin22-SunRilHR-963,UX2013,HILLIARD/GA00190-7A14,13.1.3,UX2013-101,+,.,963,2,4/13/2022,103,,,R,,1,90,+
